genus,size_category,feeding_habit,vertical_position,depth_distribution
Valenciennellus,tiny,actinopterygii_macroinvertebrates,NA,neritic_twilight
Vinciguerria,tiny,actinopterygii_macroinvertebrates,benthic,twilight_midnight
Xiphias,medium,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic_twilight_midnight
Alca,tiny,aves_macroinvertebrates_actinopterygii,pelagic,neritic
Anhinga,tiny,aves_actinopterygii,pelagic,neritic
Ardenna,tiny,aves_cephalopoda_actinopterygii,pelagic,neritic
Calonectris,tiny,aves_cephalopoda_actinopterygii,pelagic,neritic
Cepphus,tiny,aves_macroinvertebrates_actinopterygii,pelagic,neritic
Cerorhinca,tiny,aves_actinopterygii,pelagic,neritic
Clangula ,tiny,aves_macroinvertebrates_actinopterygii,pelagic,neritic
Fratercula,tiny,aves_actinopterygii,pelagic,neritic
Fulmarus,tiny,aves_cephalopoda_actinopterygii,pelagic,neritic
Gavia,tiny,aves_macroinvertebrates_actinopterygii,pelagic,neritic
Gelochelidon,tiny,aves_actinopterygii,pelagic,neritic
Haematopus,tiny,aves_macroinvertebrates,pelagic,neritic
Haliaeetus ,tiny,aves_actinopterygii,pelagic,neritic
Histrionicus,tiny,aves_macroinvertebrates,NA,neritic
Hydrocoloeus,tiny,aves_actinopterygii,pelagic,neritic
Larus,tiny,aves_macroinvertebrates_actinopterygii,pelagic,neritic
Limosa ,tiny,aves_macroinvertebrates,benthic,neritic
Melanitta,tiny,aves_macroinvertebrates_actinopterygii,pelagic,neritic
Mergus,tiny,aves_actinopterygii,pelagic,neritic
Miocepphus,tiny,NA,pelagic,neritic
Morus,tiny,aves_actinopterygii,pelagic,neritic
Pachyptila,tiny,aves_microinvertebrates_macroinvertebrates,pelagic,neritic
Pandion,tiny,aves_actinopterygii,pelagic,neritic
Pelagornis,small,aves_actinopterygii,pelagic,neritic
Pelecanus,small,aves_actinopterygii,pelagic,neritic
Phalacrocorax,tiny,aves_macroinvertebrates_actinopterygii,pelagic,neritic
